Concept	Pronunciation	Phon_1st	KF	ln(KF)	BNC	ln(BNC)	Familiarity	Length_Letters	Length_Phonemes	Length_Syllables	Bigram	Trigram	ColtheartN	Num_Feats_Tax	Num_Feats_No_Tax	Num_Disting_Feats_No_Tax	Disting_Feats_%_No_Tax	Mean_Distinct_No_Tax	Mean_CV_No_Tax	Density_No_Tax	Num_Corred_Pairs_No_Tax	%_Corred_Pairs_No_Tax	Num_Func	Num_Vis_Mot	Num_VisF&S	Num_Vis_Col	Num_Sound	Num_Taste	Num_Smell	Num_Tact	Num_Ency	Num_Tax
cigar	[sI][gA:r*]	s	12	2.48	704	6.56	4.60	5	5	2	949.62	31.96	0	11	11	4	36.4	0.301	0.335	51.89	2	10	1	0	4	1	0	0	1	0	4	0
cigarette	[sI][g@][rEt]	s	37	3.61	3614	8.19	5.20	9	7	3	197.15	54.61	0	13	13	9	69.2	0.610	0.591	36.13	1	17	1	0	3	1	0	0	1	0	7	0
clam	[kl&m]	k	5	1.61	132	4.88	4.20	4	4	1	316.30	22.60	7	8	6	1	16.7	0.215	0.233	55.43	5	50	1	0	2	0	0	0	0	1	2	2
clamp	[kl&mp]	k	6	1.79	378	5.93	4.10	5	5	1	823.95	131.88	4	10	8	2	25.0	0.378	0.366	109.51	6	40	6	0	2	0	0	0	0	0	0	2
clarinet	[kl&][r@][nEt]	k	1	0.00	294	5.68	3.60	8	8	3	522.52	89.47	0	13	12	3	25.0	0.224	0.219	162.24	7	19	4	0	5	1	2	0	0	0	0	1
cloak	[kl@Uk]	k	3	1.10	873	6.77	3.30	5	4	1	732.37	121.08	2	8	5	1	20.0	0.171	0.172	24.26	1	17	1	0	2	1	0	0	0	1	0	3
clock	[klOk]	k	28	3.33	3404	8.13	8.60	5	4	1	973.91	213.38	7	14	12	8	66.7	0.700	0.716	13.33	1	17	3	0	5	0	1	0	0	0	3	2
closet	[klO][zIt]	k	12	2.48	260	5.56	8.70	6	6	2	777.48	169.04	3	13	12	5	41.7	0.507	0.502	193.98	7	33	3	0	6	0	0	0	0	0	3	1
coat	[k@Ut]	k	53	3.97	4403	8.39	8.35	4	3	1	5908.93	109.30	9	19	18	1	5.6	0.165	0.137	591.03	32	24	4	0	11	1	0	0	0	1	1	1
cockroach	[kOk][r@UtS]	k	2	0.69	147	4.99	3.60	9	6	2	337.03	1.88	0	14	13	3	23.1	0.232	0.194	7.86	1	2	0	1	5	2	0	0	0	1	4	1
coconut	[k@U][k@][nVt]	k	10	2.30	373	5.92	5.35	7	7	3	701.54	12.77	0	21	20	3	15.0	0.253	0.271	582.80	27	20	2	0	6	4	0	2	0	2	4	1
cod	[kOd]	k	6	1.79	385	5.95	3.60	3	3	1			22	9	8	2	25.0	0.297	0.281	435.45	13	87	1	1	3	0	0	0	0	0	3	1
coin	[kOIn]	k	19	2.94	2645	7.88	8.85	4	3	1	843.37	42.49	5	11	11	4	36.4	0.375	0.360	0.00	0	0	4	0	6	0	0	0	0	0	1	0
colander	[kV][l@n][d@r*]	k	1	0.00	54	3.99	2.35	8	8	3	909.34	123.09	0	6	5	1	20.0	0.145	0.176	0.00	0	0	1	0	3	0	0	0	0	0	1	1
comb	[k@Um]	k	7	1.95	544	6.30	7.90	4	3	1	1700.31	468.74	5	12	12	5	41.7	0.399	0.402	0.00	0	0	4	0	5	1	0	0	0	0	2	0
cork	[kO:k]	k	10	2.30	985	6.89	5.70	4	3	1	2541.49	458.63	8	7	7	5	71.4	0.576	0.576	0.00	0	0	4	0	1	1	0	0	0	0	1	0
corkscrew	[kO:k][skru:]	k	3	1.10	104	4.64	5.60	9	7	2	395.22	11.99	0	10	10	7	70.0	0.656	0.633	0.00	0	0	4	0	4	0	0	0	0	0	2	0
corn	[kO:n]	k	36	3.58	1224	7.11	7.85	4	3	1	2298.73	121.11	10	13	12	6	50.0	0.531	0.550	11.05	1	7	3	0	5	1	0	1	0	0	2	1
cottage	[kO][tIdZ]	k	25	3.22	4034	8.30	6.35	7	5	2	1128.17	157.48	0	13	12	4	33.3	0.419	0.365	84.34	5	18	2	0	5	0	0	0	0	0	5	1
couch	[kaUtS]	k	13	2.56	574	6.35	8.05	5	3	1	3910.02	776.27	6	20	19	6	31.6	0.319	0.313	527.36	18	23	6	0	7	0	0	0	0	3	3	1
cougar	  - 	k	1	0.00	14	2.64	2.20	6	4	2	896.05	267.21	0	23	18	2	11.1	0.171	0.148	200.97	17	14	0	3	7	1	0	0	0	0	7	5
cow	[kaU]	k	45	3.81	2611	7.87	5.40	3	2	1			23	22	20	6	30.0	0.259	0.264	212.46	15	16	3	4	5	3	1	0	1	0	3	2
coyote	[kOI][@U][tI]	k	2	0.69	52	3.95	2.85	6	5	3	574.18	11.72	0	17	12	2	16.7	0.219	0.211	153.21	14	31	1	0	4	0	1	0	0	1	5	5
crab	[kr&b]	k	2	0.69	565	6.34	4.20	4	4	1	106.15	19.02	6	16	13	3	23.1	0.308	0.316	113.65	9	20	1	1	5	1	0	1	0	1	3	3
cranberry	[kr&n][b@][rI]	k	1	0.00	121	4.80	4.05	9	8	3	227.15	17.04	0	14	12	3	25.0	0.320	0.291	164.30	11	31	2	0	2	1	0	3	0	0	4	2
crane_(machine)	[kreIn]	k	6	1.79	835	6.73	3.70	5	4	1	891.46	114.36	5	11	10	3	30.0	0.372	0.373	26.68	3	14	4	0	2	1	0	0	0	1	2	1
crayon	[kreI][@n]	k	1	0.00	165	5.11	7.60	6	5	2	535.33	22.19	0	13	13	7	53.8	0.564	0.568	29.22	3	20	7	0	1	2	0	0	0	0	3	0
crocodile	[krO][k@][daIl]	k	1	0.00	389	5.96	2.65	9	8	3	291.99	31.91	0	17	15	3	20.0	0.181	0.195	201.90	9	14	0	3	7	1	0	0	0	0	4	2
